location,type,playplace,drive-thur,,
444 LENOX AVE / 132ND NEW YORK NY 10030 ,STOREFRONT,FALSE,FALSE,40.81223996,-73.94209834
354 W 125TH ST NEW YORK NY 10027 ,STOREFRONT,FALSE,FALSE,40.81083772,-73.95280238
148 W. 125TH STREET NEW YORK NY 10029 ,STOREFRONT,FALSE,FALSE,40.8085076,-73.94729384
513 E 138TH ST-SATELLITE BRONX NY 10454 ,STOREFRONT,FALSE,FALSE,40.80747679,-73.91896989
85 BRUCKNER BLVD BRONX NY 10454 ,FREE STANDING,TRUE,TRUE,40.80615626,-73.92582898
125TH ST & LEXINGTON AVE NEW YORK NY 10035 ,STOREFRONT,FALSE,FALSE,40.80438385,-73.93740762
2726 BROADWAY NEW YORK NY 10025 ,STOREFRONT,FALSE,FALSE,40.799979,-73.96798702
2549 BROADWAY & 96TH ST NEW YORK NY 10025 ,STOREFRONT,FALSE,FALSE,40.79763495,-73.96783196
1997 3RD AVE NEW YORK NY 10029 ,STOREFRONT,FALSE,FALSE,40.7939416,-73.94290502
1872 3RD AVE.   103RD STREET NEW YORK NY 10029 ,STOREFRONT,FALSE,FALSE,40.78989025,-73.94594703
1871 2ND AVE NEW YORK NY 10029 ,STOREFRONT,FALSE,FALSE,40.78459996,-73.94687711
138-11 20TH AVE. WHITESTONE NY 11354 ,FREE STANDING,FALSE,TRUE,40.7811292,-73.81210691
160-11 WILLETS POINT BLVD WHITESTONE NY 11357 ,FREE STANDING,TRUE,TRUE,40.78057308,-73.80214046
2049 BROADWAY   71ST NEW YORK NY 10023 ,STOREFRONT,FALSE,FALSE,40.77760387,-73.98220578
22 50 31ST ST ASTORIA NY 11105 ,STOREFRONT,TRUE,FALSE,40.77696827,-73.90774395
1499 3RD AVE & 85TH ST NEW YORK NY 10028 ,STOREFRONT,FALSE,FALSE,40.77693129,-73.95371906
3001 STRATTON ST FLUSHING NY 11354 ,SHARED BUILDING,TRUE,TRUE,40.76965682,-73.8344009
250-01 NORTHERN BLVD LITTLE NECK NY 11363 ,FREE STANDING,TRUE,TRUE,40.76849719,-73.7374661
31-46 21ST ST LONG ISLAND CITY NY 11106 ,FREE STANDING,FALSE,TRUE,40.76627592,-73.93073659
1286 1ST AVE   69TH ST NEW YORK NY 10021 ,STOREFRONT,FALSE,FALSE,40.76601224,-73.95728405
946 8TH AVE & 56TH NEW YORK NY 10019 ,STOREFRONT,FALSE,FALSE,40.76593182,-73.98334392
144-01 NORTHERN BLVD FLUSHING NY 11354 ,STOREFRONT,FALSE,FALSE,40.76471397,-73.82337425
88-05 ASTORIA BLVD EAST ELMHURST NY 11369 ,FREE STANDING,FALSE,TRUE,40.76410258,-73.88106781
735 9TH AVE NEW YORK NY 10019 ,STOREFRONT,FALSE,FALSE,40.7633397,-73.98909692
1651 BROADWAY MANHATTAN NY 10019 ,STOREFRONT,FALSE,FALSE,40.76237815,-73.98345814
966 3RD AVE NEW YORK NY 10022 ,STOREFRONT,FALSE,FALSE,40.76077905,-73.96717698
32-55 31ST STREET LONG ISLAND CITY NY 11106 ,FREE STANDING,TRUE,TRUE,40.76066017,-73.92647585
136-61 ROOSEVELT AVENUE FLUSHING NY 11355 ,STOREFRONT,FALSE,FALSE,40.76018454,-73.82779575
31-67 STEINWAY ST ASTORIA NY 11103 ,STOREFRONT,FALSE,FALSE,40.75955059,-73.91849553
220 WEST 42ND STREET & 7TH AVE NEW YORK NY 10036 ,STOREFRONT,FALSE,FALSE,40.75923812,-73.99063803
40-18 MAIN STREET FLUSHING NY 11354 ,STOREFRONT,FALSE,FALSE,40.75909487,-73.82992997
1560 BROADWAY MANHATTAN NY 10036 ,STOREFRONT,FALSE,FALSE,40.75875221,-73.98487424
688 8TH AVE.   44TH NEW YORK NY 10036 ,STOREFRONT,FALSE,FALSE,40.75816129,-73.98906429
1188 6TH AVE NEW YORK NY 10036 ,STOREFRONT,FALSE,FALSE,40.75772073,-73.98195462
203-11 NORTHERN BLVD BAYSIDE NY 11361 ,FREE STANDING,FALSE,TRUE,40.7576576,-73.77990814
14 E 47TH ST MANHATTAN NY 10017 ,STOREFRONT,FALSE,FALSE,40.75632152,-73.97783519
824 3RD AVENUE 50TH ST NEW YORK NY 10022 ,STOREFRONT,FALSE,FALSE,40.75609588,-73.97060549
556 7TH AVE NEW YORK NY 10018 ,STOREFRONT,FALSE,FALSE,40.75454934,-73.98801649
18 E 42ND ST NEW YORK NY 10017 ,STOREFRONT,FALSE,FALSE,40.75317403,-73.98020167
51-35 NORTHERN BLVD WOODSIDE NY 11377 ,FREE STANDING,FALSE,TRUE,40.75306765,-73.90925835
490 8TH AVE MANHATTAN NY 10001 ,STOREFRONT,FALSE,FALSE,40.75259127,-73.99313429
PENN STATION/LOWER LEVEL NEW YORK NY 10119 ,BUS/TRAIN,FALSE,FALSE,40.75155848,-73.99210356
280 MADISON AVE NEW YORK NY 10016 ,STOREFRONT,FALSE,FALSE,40.75145653,-73.98030621
37-19 JUNCTION BLVD CORONA NY 11368 ,STOREFRONT,FALSE,FALSE,40.75101782,-73.8704621
972 6TH AVE MANHATTAN NY 10018 ,STOREFRONT,FALSE,FALSE,40.75091176,-73.98694421
429 7TH AVE NEW YORK NY 10001 ,STOREFRONT,FALSE,FALSE,40.75058075,-73.99085569
151 WEST 34TH STREET &7TH AVE. NEW YORK NY 10001 ,STOREFRONT,FALSE,FALSE,40.75040747,-73.98916971
40-12 NATIONAL ST CORONA NY 11368 ,STOREFRONT,FALSE,FALSE,40.7492277,-73.8629729
37-59 82ND ST JACKSON HEIGHTS NY 11372 ,STOREFRONT,FALSE,FALSE,40.74824432,-73.88400309
335 8TH AVE MANHATTAN NY 10001 ,STOREFRONT,FALSE,FALSE,40.74760725,-73.99682828
75-19 ROOSEVELT AVE JACKSON HEIGHTS NY 11372 ,STOREFRONT,FALSE,FALSE,40.74701189,-73.89025846
809/811 6TH AVE/28TH MANHATTAN NY 10001 ,STOREFRONT,FALSE,FALSE,40.74588425,-73.99068106
256-03 UNION TURNPIKE GLEN OAKS NY 11004 ,STOREFRONT,FALSE,FALSE,40.74543378,-73.71511813
480 3RD AVE & 33RD ST NEW YORK NY 10016 ,STOREFRONT,FALSE,FALSE,40.74513755,-73.9789097
33-80 QUEENS BLVD & 39TH ST LONG ISLAND CITY NY 11101 ,FREE STANDING,TRUE,TRUE,40.74404183,-73.941121
401 PARK AVE S NEW YORK NY 10016 ,STOREFRONT,FALSE,FALSE,40.74311209,-73.98411433
686 6TH AVE NEW YORK NY 10010 ,STOREFRONT,FALSE,FALSE,40.74203166,-73.99340469
26 E 23RD ST NEW YORK NY 10010 ,STOREFRONT,FALSE,FALSE,40.74074492,-73.98778105
541 6TH AVE & 14TH ST NEW YORK NY 10011 ,STOREFRONT,FALSE,FALSE,40.73878785,-73.99957775
80-03 QUEENS BLVD ELMHURST NY 11373 ,FREE STANDING,TRUE,TRUE,40.7381638,-73.88352809
336 E 23RD ST MANHATTAN NY 10010 ,STOREFRONT,FALSE,FALSE,40.73728449,-73.97948255
39 UNION SQ W NEW YORK NY 10003 ,STOREFRONT,FALSE,FALSE,40.73692901,-73.99048739
95-05 57TH AVE CORONA NY 11368 ,STOREFRONT,FALSE,FALSE,40.73668438,-73.86568664
2045 JERICHO TPKE NEW HYDE PARK NY 11040 ,FREE STANDING,FALSE,TRUE,40.73616676,-73.67319312
90-15 QUEENS BOULEVARD ELMHURST NY 11373 ,MALL,FALSE,FALSE,40.73402686,-73.87125232
91-19 QUEEN BLVD ELMHURST NY 11373 ,STOREFRONT,FALSE,FALSE,40.73357697,-73.8698199
404 E 14TH ST NEW YORK NY 10009 ,STOREFRONT,FALSE,FALSE,40.73114453,-73.9821714
27 3RD AVE & ST MARKS PL NEW YORK NY 10003 ,STOREFRONT,FALSE,FALSE,40.73104109,-73.98808089
136 W 3RD ST NEW YORK NY 10012 ,STOREFRONT,TRUE,FALSE,40.73084499,-74.00103302
904 MANHATTAN AVE & GREENPOINT BROOKLYN NY 11222 ,STOREFRONT,FALSE,FALSE,40.73037675,-73.95423368
88-14 SPRINGFIELD BLVD QUEENS VILLAGE NY 11427 ,FREE STANDING,FALSE,TRUE,40.72935779,-73.74424091
724 BROADWAY NEW YORK NY 10003 ,STOREFRONT,FALSE,FALSE,40.72925988,-73.99348627
102-106 1ST AVE.   5TH STREET NEW YORK NY 10003 ,STOREFRONT,FALSE,FALSE,40.72901774,-73.98427459
208 VARRICK ST NEW YORK NY 10014 ,STOREFRONT,FALSE,FALSE,40.72870766,-74.00529119
72-69 KISSENA BLVD FLUSHING NY 11367 ,FREE STANDING,TRUE,TRUE,40.72724586,-73.8126383
