location,type,playplace,drive-thur,lat,long
300 E 204TH ST,STOREFRONT,TRUE,FALSE,40.81993592,-73.92667104
2630 JEROME AVE,FREE STANDING,FALSE,TRUE,40.82246551,-73.8916982
2505 SOUTHERN BLVD,FREE STANDING,TRUE,TRUE,40.82391471,-73.87468544
372 E FORDHAM RD,STOREFRONT,FALSE,FALSE,40.82605752,-73.86167408
336 E 23RD ST,STOREFRONT,FALSE,FALSE,40.82764012,-73.82333542
1600 BOSTON RD,FREE STANDING,FALSE,TRUE,40.82773162,-73.92496316
51-67 161ST ST,STOREFRONT,FALSE,FALSE,40.828054,-73.92529
599 E TREMONT AVE,STOREFRONT,FALSE,FALSE,40.82866007,-73.87811582
3279 3RD AVENUE @ 164TH ST E,FREE STANDING,FALSE,TRUE,40.8358339,-73.89064425
839 WESTCHE STER AVENUE,STOREFRONT,FALSE,FALSE,40.83948664,-73.91567031
82 COURT ST,STOREFRONT,FALSE,FALSE,40.83999831,-73.87689927
125TH ST & LEXINGTON AVE,STOREFRONT,FALSE,FALSE,40.84046813,-73.8433569
85 BRUCKNER BLVD,FREE STANDING,TRUE,TRUE,40.84451786,-73.91506637
513 E 138TH ST-SATELLITE,STOREFRONT,FALSE,FALSE,40.84475325,-73.84656255
167 CHAMBERS ST (303 GREENWICH ST),STOREFRONT,FALSE,FALSE,40.84643681,-73.89349083
52 FULTON ST (AKA 34 CLIFF ST),STOREFRONT,FALSE,FALSE,40.84980266,-73.84489641
160 BROADWAY,STOREFRONT,FALSE,FALSE,40.84994253,-73.93597251
1625 WEBSTER AVE & CLAY,FREE STANDING,FALSE,TRUE,40.85007722,-73.91623374
2065 JEROME AVE,FREE STANDING,FALSE,TRUE,40.8556202,-73.86762124
724 BROADWAY,STOREFRONT,FALSE,FALSE,40.85658949,-73.88076647
39 UNION SQ W,STOREFRONT,FALSE,FALSE,40.86181606,-73.89245441
404 E 14TH ST,STOREFRONT,FALSE,FALSE,40.86268357,-73.90283323
27 3RD AVE & ST MARKS PL,STOREFRONT,FALSE,FALSE,40.86346659,-73.86737067
1745 UNIVERSITY AVE,STOREFRONT,TRUE,FALSE,40.86518483,-73.92706486
1 W MOUNT EDEN AVE,FREE STANDING,FALSE,TRUE,40.86711064,-73.89768516
101 E 170TH ST,STOREFRONT,FALSE,FALSE,40.86714091,-73.92089488
86 E 167TH ST-SATELLITE,STOREFRONT,FALSE,FALSE,40.86896382,-73.83065375
317 BROADWAY,STOREFRONT,FALSE,FALSE,40.87302225,-73.87864305
102-106 1ST AVE. @ 5TH STREET,STOREFRONT,FALSE,FALSE,40.88533355,-73.82730988
262 CANAL ST,STOREFRONT,FALSE,FALSE,40.89302482,-73.8574817
114 DELANCEY ST,STOREFRONT,FALSE,FALSE,40.90286414,-73.84915289
